sel,libfracsurvive
BG505-mut-virus-1-FP16-02-500ug,0.052725
BG505-mut-virus-1-FP20-01-500ug,0.047702
BG505-mut-virus-1-VRC34-33ug,0.063644
BG505-mut-virus-3-FP16-02-500ug,0.04188
BG505-mut-virus-3-FP20-01-500ug,0.038097
BG505-mut-virus-3-VRC34-11ug,0.192255
BG505-mut-virus-3-VRC34-33ug,0.050239
mut-virus-1b-DF1W203-130ug,0.291358025
mut-virus-1b-DF1W314-60ug,0.102716049
mut-virus-1b-106B6-375ug,0.159753086
mut-virus-1b-106E6-375ug,0.117901235
mut-virus-1b-DF1W203-100ug-quarter,0.108765432
mut-virus-3b-DF1W203-40ug,0.445205738
mut-virus-3b-DF1W314-40ug,0.082732468
mut-virus-2b-106B6-375ug,0.028992677
mut-virus-2b-106E6-375ug,0.071178508
BG505-mut-virus-3c-110D12-400ug,0.006986651
BG505-mut-virus-3c-17D4-5000ug,0.051157213
BG505-mut-virus-3c-OPV20-1750ug,0.0119139
BG505-mut-virus-3c-DF1W203-400ug,0.029421861
BG505-mut-virus-3c-DF1W314-80ug,0.031768134
BG505-mut-virus-3c-DF1W314-160ug,0.012532842
BG505-mut-virus-3c-OPV12-3600ug,0.010646493
BG505-mut-virus-2c-110D12-400ug,0.008321905
BG505-mut-virus-2c-110D12-700ug,0.006386886
BG505-mut-virus-2c-17D4-3500ug,0.176505534
BG505-mut-virus-2c-17D4-4200ug,0.108594438
BG505-mut-virus-2c-OPV20-1750ug,0.022658624
BG505-mut-virus-2c-DF1W203-275ug,0.136216221
BG505-mut-virus-2c-DF1W314-80ug,0.146913457
BG505-mut-virus-2c-DF1W314-60ug,0.170300232
BG505-mut-virus-2c-OPV12-4000ug,0.008155112
